iteration;ph_iter;max_eps
0;17;5.097479e-06
1;1;2.551442e-06
2;1;1.280892e-06
3;1;6.503588e-07
4;1;3.719335e-07
5;1;1.859139e-07
6;1;1.699096e-07
7;1;7.339931e-08
8;1;1.230709e-07
9;1;9.919170e-08
10;1;1.135732e-07
11;1;1.065917e-07
12;1;1.089909e-07
13;1;1.059397e-07
14;1;1.052127e-07
15;1;1.037972e-07
16;1;1.018817e-07
17;1;1.005613e-07
18;1;9.898429e-08
19;1;9.765044e-08
20;1;9.663802e-08
21;1;9.903314e-08
22;1;1.019550e-07
23;1;1.041455e-07
24;1;1.056166e-07
25;1;1.063465e-07
26;1;1.064013e-07
27;1;1.058302e-07
28;1;1.047329e-07
29;1;1.031229e-07
30;1;1.010751e-07
31;1;9.865095e-08
32;1;9.590413e-08
33;1;9.292364e-08
34;1;9.406405e-08
35;1;9.554507e-08
36;1;9.685576e-08
37;1;9.771861e-08
38;1;9.813750e-08
39;1;9.834868e-08
40;1;9.811267e-08
41;1;9.749941e-08
42;1;9.665841e-08
43;1;9.537954e-08
44;1;9.397807e-08
45;1;9.221983e-08
46;1;9.029800e-08
47;1;8.816349e-08
48;1;8.586894e-08
49;1;8.347256e-08
50;1;8.093377e-08
51;1;7.837187e-08
52;1;7.570515e-08
53;1;7.306988e-08
54;1;7.037921e-08
55;1;6.774974e-08
56;1;6.511833e-08
57;1;6.260866e-08
58;1;6.047464e-08
59;1;5.841681e-08
60;1;5.639967e-08
61;1;5.443030e-08
62;1;5.256029e-08
63;1;5.121745e-08
64;1;5.250064e-08
65;1;5.413659e-08
66;1;5.567264e-08
67;1;5.710960e-08
68;1;5.846074e-08
69;1;5.974061e-08
70;1;6.115017e-08
71;1;6.253786e-08
72;1;6.382194e-08
73;1;6.500774e-08
74;1;6.609496e-08
75;1;6.709029e-08
76;1;6.799291e-08
77;1;6.881051e-08
78;1;6.954165e-08
79;1;7.020954e-08
80;1;7.080545e-08
81;1;7.134495e-08
82;1;7.179723e-08
83;1;7.220019e-08
84;1;7.252282e-08
85;1;7.280304e-08
86;1;7.300947e-08
87;1;7.318004e-08
