run,label,tau_g,tau_f,vf_theta,meniscus_rise,sigma_ratio,result,image_path
1,run001_taug0.55_tauf1.0,0.55,1.0,60.0,6.471933440901694,1.0173,DONE,param_study_runs/run001_taug0.55_tauf1.0/final_snapshot.png
2,run002_taug0.55_tauf1.1,0.55,1.1,60.0,5.8355393876458095,1.0172,DONE,param_study_runs/run002_taug0.55_tauf1.1/final_snapshot.png
3,run003_taug0.55_tauf1.2,0.55,1.2,60.0,5.357519940050622,1.0171,DONE,param_study_runs/run003_taug0.55_tauf1.2/final_snapshot.png
4,run004_taug0.55_tauf1.3,0.55,1.3,60.0,4.9607550421418125,1.017,DONE,param_study_runs/run004_taug0.55_tauf1.3/final_snapshot.png
6,run006_taug0.55_tauf2.0,0.55,2.0,60.0,3.546792300285972,1.017,DONE,param_study_runs/run006_taug0.55_tauf2.0/final_snapshot.png
5,run005_taug0.55_tauf1.5,0.55,1.5,60.0,4.388582605051795,1.017,DONE,param_study_runs/run005_taug0.55_tauf1.5/final_snapshot.png
7,run007_taug0.6_tauf1.0,0.6,1.0,60.0,6.60562005513637,1.0173,DONE,param_study_runs/run007_taug0.6_tauf1.0/final_snapshot.png
8,run008_taug0.6_tauf1.1,0.6,1.1,60.0,5.964326856163609,1.0173,DONE,param_study_runs/run008_taug0.6_tauf1.1/final_snapshot.png
9,run009_taug0.6_tauf1.2,0.6,1.2,60.0,5.484070552789234,1.0172,DONE,param_study_runs/run009_taug0.6_tauf1.2/final_snapshot.png
10,run010_taug0.6_tauf1.3,0.6,1.3,60.0,5.089872389700076,1.0171,DONE,param_study_runs/run010_taug0.6_tauf1.3/final_snapshot.png
11,run011_taug0.6_tauf1.5,0.6,1.5,60.0,4.505857436489549,1.0171,DONE,param_study_runs/run011_taug0.6_tauf1.5/final_snapshot.png
12,run012_taug0.6_tauf2.0,0.6,2.0,60.0,3.6580532004302597,1.017,DONE,param_study_runs/run012_taug0.6_tauf2.0/final_snapshot.png
13,run013_taug0.65_tauf1.0,0.65,1.0,60.0,6.700812876291536,1.0173,DONE,param_study_runs/run013_taug0.65_tauf1.0/final_snapshot.png
14,run014_taug0.65_tauf1.1,0.65,1.1,60.0,6.059622926090611,1.0173,DONE,param_study_runs/run014_taug0.65_tauf1.1/final_snapshot.png
15,run015_taug0.65_tauf1.2,0.65,1.2,60.0,5.576373769166622,1.0172,DONE,param_study_runs/run015_taug0.65_tauf1.2/final_snapshot.png
16,run016_taug0.65_tauf1.3,0.65,1.3,60.0,5.186151013850576,1.0172,DONE,param_study_runs/run016_taug0.65_tauf1.3/final_snapshot.png
17,run017_taug0.65_tauf1.5,0.65,1.5,60.0,4.594288326437265,1.0171,DONE,param_study_runs/run017_taug0.65_tauf1.5/final_snapshot.png
18,run018_taug0.65_tauf2.0,0.65,2.0,60.0,3.745055661411385,1.0171,DONE,param_study_runs/run018_taug0.65_tauf2.0/final_snapshot.png
19,run019_taug0.7_tauf1.0,0.7,1.0,60.0,6.776628976325071,1.0173,DONE,param_study_runs/run019_taug0.7_tauf1.0/final_snapshot.png
20,run020_taug0.7_tauf1.1,0.7,1.1,60.0,6.137742726215066,1.0172,DONE,param_study_runs/run020_taug0.7_tauf1.1/final_snapshot.png
21,run021_taug0.7_tauf1.2,0.7,1.2,60.0,5.651092832792557,1.0172,DONE,param_study_runs/run021_taug0.7_tauf1.2/final_snapshot.png
22,run022_taug0.7_tauf1.3,0.7,1.3,60.0,5.263383696279988,1.0172,DONE,param_study_runs/run022_taug0.7_tauf1.3/final_snapshot.png
23,run023_taug0.7_tauf1.5,0.7,1.5,60.0,4.667571934257268,1.0171,DONE,param_study_runs/run023_taug0.7_tauf1.5/final_snapshot.png
24,run024_taug0.7_tauf2.0,0.7,2.0,60.0,3.8192358945233593,1.0171,DONE,param_study_runs/run024_taug0.7_tauf2.0/final_snapshot.png
25,run025_taug0.75_tauf1.0,0.75,1.0,60.0,6.840607117555805,1.0174,DONE,param_study_runs/run025_taug0.75_tauf1.0/final_snapshot.png
26,run026_taug0.75_tauf1.1,0.75,1.1,60.0,6.205192383100638,1.0173,DONE,param_study_runs/run026_taug0.75_tauf1.1/final_snapshot.png
27,run027_taug0.75_tauf1.2,0.75,1.2,60.0,5.714826350167527,1.0172,DONE,param_study_runs/run027_taug0.75_tauf1.2/final_snapshot.png
28,run028_taug0.75_tauf1.3,0.75,1.3,60.0,5.328718244983634,1.0172,DONE,param_study_runs/run028_taug0.75_tauf1.3/final_snapshot.png
29,run029_taug0.75_tauf1.5,0.75,1.5,60.0,4.731113376911367,1.0171,DONE,param_study_runs/run029_taug0.75_tauf1.5/final_snapshot.png
30,run030_taug0.75_tauf2.0,0.75,2.0,60.0,3.8844293139813715,1.0171,DONE,param_study_runs/run030_taug0.75_tauf2.0/final_snapshot.png
31,run031_taug0.8_tauf1.0,0.8,1.0,60.0,6.896417993229306,1.0174,DONE,param_study_runs/run031_taug0.8_tauf1.0/final_snapshot.png
32,run032_taug0.8_tauf1.1,0.8,1.1,60.0,6.265124228529771,1.0174,DONE,param_study_runs/run032_taug0.8_tauf1.1/final_snapshot.png
33,run033_taug0.8_tauf1.2,0.8,1.2,60.0,5.77089752109373,1.0172,DONE,param_study_runs/run033_taug0.8_tauf1.2/final_snapshot.png
34,run034_taug0.8_tauf1.3,0.8,1.3,60.0,5.385698498623441,1.0172,DONE,param_study_runs/run034_taug0.8_tauf1.3/final_snapshot.png
35,run035_taug0.8_tauf1.5,0.8,1.5,60.0,4.787606670921178,1.0171,DONE,param_study_runs/run035_taug0.8_tauf1.5/final_snapshot.png
36,run036_taug0.8_tauf2.0,0.8,2.0,60.0,3.9417188742544056,1.0171,DONE,param_study_runs/run036_taug0.8_tauf2.0/final_snapshot.png
37,run037_taug0.85_tauf1.0,0.85,1.0,60.0,6.946211520011076,1.0176,DONE,param_study_runs/run037_taug0.85_tauf1.0/final_snapshot.png
38,run038_taug0.85_tauf1.1,0.85,1.1,60.0,6.3184461046692775,1.0173,DONE,param_study_runs/run038_taug0.85_tauf1.1/final_snapshot.png
39,run039_taug0.85_tauf1.2,0.85,1.2,60.0,5.821212404915855,1.0173,DONE,param_study_runs/run039_taug0.85_tauf1.2/final_snapshot.png
40,run040_taug0.85_tauf1.3,0.85,1.3,60.0,5.436419641457547,1.0172,DONE,param_study_runs/run040_taug0.85_tauf1.3/final_snapshot.png
41,run041_taug0.85_tauf1.5,0.85,1.5,60.0,4.838870273184625,1.0171,DONE,param_study_runs/run041_taug0.85_tauf1.5/final_snapshot.png
42,run042_taug0.85_tauf2.0,0.85,2.0,60.0,3.9928670260081276,1.0171,DONE,param_study_runs/run042_taug0.85_tauf2.0/final_snapshot.png
43,run043_taug0.9_tauf1.0,0.9,1.0,60.0,6.991325542094131,1.0173,DONE,param_study_runs/run043_taug0.9_tauf1.0/final_snapshot.png
44,run044_taug0.9_tauf1.1,0.9,1.1,60.0,6.366162325104767,1.0173,DONE,param_study_runs/run044_taug0.9_tauf1.1/final_snapshot.png
45,run045_taug0.9_tauf1.2,0.9,1.2,60.0,5.867035473363899,1.0173,DONE,param_study_runs/run045_taug0.9_tauf1.2/final_snapshot.png
46,run046_taug0.9_tauf1.3,0.9,1.3,60.0,5.4822709675202645,1.0172,DONE,param_study_runs/run046_taug0.9_tauf1.3/final_snapshot.png
47,run047_taug0.9_tauf1.5,0.9,1.5,60.0,4.886001668558833,1.0171,DONE,param_study_runs/run047_taug0.9_tauf1.5/final_snapshot.png
48,run048_taug0.9_tauf2.0,0.9,2.0,60.0,4.0392037078264025,1.0171,DONE,param_study_runs/run048_taug0.9_tauf2.0/final_snapshot.png
49,run049_taug0.95_tauf1.0,0.95,1.0,60.0,7.032673168665383,1.0175,DONE,param_study_runs/run049_taug0.95_tauf1.0/final_snapshot.png
50,run050_taug0.95_tauf1.1,0.95,1.1,60.0,6.409427799825437,1.0173,DONE,param_study_runs/run050_taug0.95_tauf1.1/final_snapshot.png
51,run051_taug0.95_tauf1.2,0.95,1.2,60.0,5.90924856731786,1.0172,DONE,param_study_runs/run051_taug0.95_tauf1.2/final_snapshot.png
52,run052_taug0.95_tauf1.3,0.95,1.3,60.0,5.52423213830545,1.0172,DONE,param_study_runs/run052_taug0.95_tauf1.3/final_snapshot.png
53,run053_taug0.95_tauf1.5,0.95,1.5,60.0,4.929810206689353,1.0172,DONE,param_study_runs/run053_taug0.95_tauf1.5/final_snapshot.png
54,run054_taug0.95_tauf2.0,0.95,2.0,60.0,4.081660899321747,1.0171,DONE,param_study_runs/run054_taug0.95_tauf2.0/final_snapshot.png
55,run055_taug1.0_tauf1.0,1.0,1.0,60.0,7.070920437610283,1.0175,DONE,param_study_runs/run055_taug1.0_tauf1.0/final_snapshot.png
56,run056_taug1.0_tauf1.1,1.0,1.1,60.0,6.4490714459604135,1.0172,DONE,param_study_runs/run056_taug1.0_tauf1.1/final_snapshot.png
57,run057_taug1.0_tauf1.2,1.0,1.2,60.0,5.9485016119221825,1.0172,DONE,param_study_runs/run057_taug1.0_tauf1.2/final_snapshot.png
58,run058_taug1.0_tauf1.3,1.0,1.3,60.0,5.563002374450662,1.0172,DONE,param_study_runs/run058_taug1.0_tauf1.3/final_snapshot.png
59,run059_taug1.0_tauf1.5,1.0,1.5,60.0,4.970854652328967,1.0171,DONE,param_study_runs/run059_taug1.0_tauf1.5/final_snapshot.png
60,run060_taug1.0_tauf2.0,1.0,2.0,60.0,4.120929541042756,1.0171,DONE,param_study_runs/run060_taug1.0_tauf2.0/final_snapshot.png
