label,result,nodes,tau_f,Kf,xi,vf_W,vf_sigma,vf_theta,vf_capMult,add_st,add_bf
theta_30,DONE,200,1.5,0.002,6.0,6,0.01,30,100.0,1,1
theta_60,DONE,200,1.5,0.002,6.0,6,0.01,60,100.0,1,1
theta_90,STALLED,200,1.5,0.002,6.0,6,0.01,90,100.0,1,1
theta_120,STALLED,200,1.5,0.002,6.0,6,0.01,120,100.0,1,1
theta_150,STALLED,200,1.5,0.002,6.0,6,0.01,150,100.0,1,1
Kf_0.001,DONE,200,1.5,0.001,6.0,6,0.01,60.0,100.0,1,1
Kf_0.005,DONE,200,1.5,0.005,6.0,6,0.01,60.0,100.0,1,1
Kf_0.01,DONE,200,1.5,0.01,6.0,6,0.01,60.0,100.0,1,1
tau_f_0.7,STALLED,200,0.7,0.002,6.0,6,0.01,60.0,100.0,1,1
tau_f_1.0,STALLED,200,1.0,0.002,6.0,6,0.01,60.0,100.0,1,1
tau_f_2.0,DONE,200,2.0,0.002,6.0,6,0.01,60.0,100.0,1,1
